Ranking,Title,Prison Population Rate
NA,Morocco,270
NA,Burundi,102
NA,India,41
NA,New Caledonia  (France),201
NA,Martinique  (France),261
NA,Guadeloupe  (France),197
NA,French Guiana/Guyane (France),305
NA,France,109
NA,Dominica,348
NA,Vietnam,135
NA,Iceland,36
NA,Portugal,116
NA,Austria,98
NA,New Zealand,173
NA,United Kingdom: Scotland,143
NA,United Kingdom: Northern Ireland,97
NA,United Kingdom: England & Wales,145
NA,Slovenia,84
NA,Slovakia,179
NA,Poland,197
NA,Norway,52
NA,Italy,103
NA,"Ireland, Republic of",88
NA,Guernsey  (United Kingdom),125
NA,Georgia,256
NA,Czech Republic,179
NA,Albania,189
NA,Mauritius,197
NA,Romania,124
NA,Peru,272
NA,Colombia,198
NA,Mayotte (France),186
NA,Canada,88
NA,Niger,40
NA,Papua New Guinea,54
NA,Kosovo/Kosova,99
NA,Rwanda,637
NA,Libya,269
NA,Mozambique,67
NA,Comoros,46
NA,Argentina,254
NA,South Africa,258
NA,Jordan,185
NA,Taiwan,239
NA,Sri Lanka,149
NA,Indonesia,94
NA,Mexico,174
NA,Ecuador,167
NA,Chile,281
NA,Nigeria,34
NA,Ghana,45
NA,Bangladesh,50
NA,Estonia,132
NA,Guatemala,123
NA,Uganda,150
NA,Nepal,90
NA,Senegal,69
NA,Cape Verde  (Cabo Verde),366
NA,Macau  (China),197
NA,Bolivia,209
NA,Costa Rica,298
NA,Brazil,390
NA,Mali,40
NA,Uruguay,424
NA,Guam  (USA),475
NA,Croatia,106
NA,Spain,113
NA,North Macedonia,138
NA,Liechtenstein,15
NA,Bulgaria,101
NA,Bosnia and Herzegovina: Republika Srpska,44
NA,Andorra,73
NA,Seychelles,413
NA,Sweden,82
NA,Germany,67
NA,Azerbaijan,244
NA,Paraguay,233
NA,Reunion (France),137
NA,Fiji,248
NA,Democratic Republic of Congo,46
NA,Israel,217
NA,Dominican Republic,223
NA,Serbia,162
NA,Luxembourg,107
NA,Latvia,172
NA,Finland,51
NA,Armenia,79
NA,Netherlands,65
NA,Northern Mariana Islands  (USA),273
NA,Turkey,340
NA,United States of America,531
NA,San Marino,9
NA,Montenegro,166
NA,Monaco,69
NA,Moldova (Republic of),236
NA,Australia,158
NA,Uzbekistan,85
NA,Qatar,58
NA,Kuwait,103
NA,Hong Kong  (China),106
NA,Panama,499
NA,South Sudan,58
NA,Liberia,55
NA,Cuba,794
NA,El Salvador,1086
NA,Belize,289
NA,Lebanon,129
NA,Malta,132
NA,St. Lucia,308
NA,Cayman Islands  (United Kingdom),277
NA,Aruba  (Netherlands),288
NA,Antigua and Barbuda,400
NA,Afghanistan,45
NA,Zambia,125
NA,Cote d'Ivoire,95
NA,Burkina Faso,39
NA,Zimbabwe,138
NA,St. Vincent and the Grenadines,353
NA,Greece,101
NA,Cyprus (Republic of),103
NA,Belgium,97
NA,Kyrgyzstan,117
NA,Republic of (South) Korea,103
NA,Faeroe Islands  (Denmark),23
NA,Greenland (Denmark),241
NA,Honduras,191
NA,Madagascar,98
NA,Cameroon,116
NA,Anguilla (United Kingdom),240
NA,Egypt,116
NA,Pakistan,38
NA,Malaysia,217
NA,Cambodia,219
NA,Virgin Islands (United Kingdom),368
NA,Trinidad and Tobago,276
NA,St. Kitts and Nevis,296
NA,Puerto Rico  (USA),221
NA,Jamaica,125
NA,Grenada,335
NA,Barbados,258
NA,Tanzania,50
NA,Sierra Leone,57
NA,Mauritania,57
NA,Eswatini/Swaziland,243
NA,Botswana,161
NA,Benin,111
NA,Singapore,156
NA,Haiti,99
NA,Thailand,377
NA,French Polynesia  (France),178
NA,Guyana,271
NA,Lithuania,177
NA,Russian Federation,300
NA,Philippines,162
NA,Kenya,107
NA,Angola,79
NA,Ukraine,123
NA,Vanuatu,65
NA,Gambia,22
NA,Samoa,179
NA,Maldives,314
NA,Japan,36
NA,Kazakhstan,184
NA,Tajikistan,141
NA,Denmark,69
NA,Central African Republic,40
NA,Curaçao (Netherlands),261
NA,Timor-Leste (formerly East Timor),55
NA,Solomon Islands,79
NA,American Samoa  (USA),538
NA,Iraq,179
NA,Virgin Islands (USA),345
NA,Gabon,228
NA,Hungary,203
NA,Switzerland,73
NA,Suriname,185
NA,Equatorial Guinea,63
NA,Chad,59
NA,Venezuela,199
NA,Guinea (Republic of),34
NA,Palau,428
NA,Mongolia,183
NA,Togo,59
NA,Algeria,217
NA,Malawi,76
NA,Namibia,318
NA,Laos,166
NA,Lesotho,104
NA,Myanmar (formerly Burma),183
NA,Isle of Man  (United Kingdom),103
NA,Tunisia,196
NA,Yemen,35
NA,Guinea Bissau,31
NA,Sao Tome e Principe,115
NA,Jersey  (United Kingdom),135
NA,Gibraltar  (United Kingdom),273
NA,Turkmenistan,576
NA,China,119
NA,Sint Maarten (Netherlands),196
NA,Bermuda (United Kingdom),200
NA,Bahamas,409
NA,Saudi Arabia,207
NA,Djibouti,71
NA,Congo (Republic of),27
NA,Bosnia and Herzegovina: Federation,83
NA,Brunei Darussalam,186
NA,Iran,228
NA,Belarus,345
NA,Marshall Islands,66
NA,Cook Islands  (New Zealand),224
NA,Nicaragua,332
NA,Bahrain,234
NA,Sudan,52
NA,Ethiopia,99
NA,Eritrea,NA
NA,Kiribati,113
NA,Democratic People's Republic of (North) Korea,NA
NA,Oman,46
NA,Tuvalu,110
NA,Tonga,166
NA,Nauru,140
NA,"Micronesia, Federated States of",127
NA,Bhutan,145
NA,Somalia,NA
NA,United Arab Emirates,104
NA,Syria,60
